"","age_group","severity_0","severity_V_1","severity_1","severity_V_2","severity_2","severity_V_3","severity_3","severity_V_4","severity_4","severity_V_5","severity_5","severity_V_6","severity_6","severity_V_7","severity_7","severity_V_8","severity_8","severity_V_9","severity_9","severity_V_10","severity_10","severity_V_11","severity_11","severity_V_12","severity_12","severity_V_13","severity_13","severity_V_14","severity_14","severity_V_15","severity_15","severity_V_16","severity_16","severity_V_17","severity_17","severity_V_18","severity_18","severity_V_19","severity_19","severity_V_20","severity_20","severity_V_21","severity_21","severity_V_22","severity_22","severity_V_23","severity_23","severity_V_24","severity_24"
"1","0-17 years",1,0.452226927843306,0.165910583131722,0.415287127195327,0.152358307738693,0.396607955948046,0.145505393851337,0.384874659395536,0.141200745115872,0.377237966173792,0.138399036178149,0.370469215862735,0.135915753467549,0.364950843784363,0.133891202798206,0.360793311218339,0.13236590961032,0.360458624091238,0.130877813802489,0.372811205751124,0.129573313553985,0.384392556464356,0.12853750491202,0.396621619324304,0.127484933758425,0.408161272568933,0.126529905613196,0.417884305307918,0.12575071268652,0.428296580553121,0.124940816430549,0.438240686278913,0.124191028218086,0.446706826722089,0.123569042217465,0.455854618106002,0.122913188200398,0.464660298997665,0.122297929198103,0.47220992475957,0.121781787243587,0.480418116574748,0.121232097647022,0.488363532569641,0.1207115888149,0.495210065139208,0.120271390924855,0.502687745202236,0.119799147204586
"2","18-49 years",1,0.452226927843306,0.165910583131722,0.415287127195327,0.152358307738693,0.396607955948046,0.145505393851337,0.384874659395536,0.141200745115872,0.377237966173792,0.138399036178149,0.370469215862735,0.135915753467549,0.364950843784363,0.133891202798206,0.360793311218339,0.13236590961032,0.360458624091238,0.130877813802489,0.372811205751124,0.129573313553985,0.384392556464356,0.12853750491202,0.396621619324304,0.127484933758425,0.408161272568933,0.126529905613196,0.417884305307918,0.12575071268652,0.428296580553121,0.124940816430549,0.438240686278913,0.124191028218086,0.446706826722089,0.123569042217465,0.455854618106002,0.122913188200398,0.464660298997665,0.122297929198103,0.47220992475957,0.121781787243587,0.480418116574748,0.121232097647022,0.488363532569641,0.1207115888149,0.495210065139208,0.120271390924855,0.502687745202236,0.119799147204586
"3","50-64 years",1,0.465157519524116,0.170654489064597,0.427161493672506,0.156714711449422,0.407948226108831,0.149665851177972,0.395879437666189,0.145238118982189,0.388024387341492,0.142356300364896,0.38106209714797,0.139802012783111,0.375385937437561,0.137719573835935,0.371109527925692,0.136150667713498,0.366937407367022,0.134620022561325,0.364266512561792,0.133278222543563,0.372814923852699,0.132212796871333,0.384675655966913,0.13113012939449,0.395867742997042,0.130147793987731,0.405297924849531,0.129346321482031,0.415396589710211,0.128513267742184,0.425041185987111,0.127742040724056,0.433252332253004,0.127102270185386,0.442124598614203,0.126427663237048,0.450665058609818,0.125794812042765,0.457987294970038,0.125263911964722,0.465948261838625,0.124698505011921,0.473654367509244,0.124163113193493,0.480294687348046,0.123710328659831,0.487547144963081,0.123224582004764
"4","65-74 years",1,0.536244611832968,0.196734539172067,0.49244189279956,0.180664433191765,0.470292382635205,0.172538340026602,0.456379197311791,0.16743394542269,0.447323709148114,0.164111716627196,0.43929741602033,0.161167073371282,0.432753804592261,0.158766388403238,0.427823858364417,0.156957716245278,0.423014138913267,0.155193152240552,0.418797824220191,0.153646293382033,0.415449955792156,0.152418045418577,0.412047908743487,0.151169920694165,0.408961133401245,0.15003746115782,0.40644268038504,0.149113504659915,0.403824990209946,0.148153140566872,0.401401577059562,0.147264051783798,0.404543501470757,0.146526509145507,0.412827860105542,0.145748806268594,0.420802399037233,0.145019240414486,0.427639438137187,0.144407206223222,0.435072883204552,0.143755391688992,0.442268355077686,0.143138179312967,0.448468663855034,0.142616198572451,0.455240547996077,0.142056218317241
"5","75+ years",1,0.536244611832968,0.196734539172067,0.49244189279956,0.180664433191765,0.470292382635205,0.172538340026602,0.456379197311791,0.16743394542269,0.447323709148114,0.164111716627196,0.43929741602033,0.161167073371282,0.432753804592261,0.158766388403238,0.427823858364417,0.156957716245278,0.423014138913267,0.155193152240552,0.418797824220191,0.153646293382033,0.415449955792156,0.152418045418577,0.412047908743487,0.151169920694165,0.408961133401245,0.15003746115782,0.40644268038504,0.149113504659915,0.403824990209946,0.148153140566872,0.401401577059562,0.147264051783798,0.404543501470757,0.146526509145507,0.412827860105542,0.145748806268594,0.420802399037233,0.145019240414486,0.427639438137187,0.144407206223222,0.435072883204552,0.143755391688992,0.442268355077686,0.143138179312967,0.448468663855034,0.142616198572451,0.455240547996077,0.142056218317241
