"","age_group","beta_0","beta_V_1","beta_V_2","beta_V_3","beta_V_4","beta_V_5","beta_V_6","beta_V_7","beta_V_8","beta_1","beta_2","beta_3","beta_4","beta_5","beta_6","beta_7","beta_8"
"1","0-17 years",1,0.361129203749978,0.566443713123692,0.70639076809394,0.815997296082716,0.943210789365639,1,1,1,0.189333509610017,0.296976193253229,0.370347902885019,0.427812623004002,0.495452540070406,0.572109405580363,0.666924586520565,0.770527238148534
"2","18-49 years",1,0.361129203749978,0.566443713123692,0.70639076809394,0.815997296082716,0.943210789365639,1,1,1,0.189333509610017,0.296976193253229,0.370347902885019,0.427812623004002,0.495452540070406,0.572109405580363,0.666924586520565,0.770527238148534
"3","50-64 years",1,0.340515827310004,0.534110915417418,0.666069745409426,0.769419895907127,0.891070111795948,0.995410012662494,1,1,0.178526289186506,0.280024692234558,0.349208319997091,0.403392934559586,0.467171942404636,0.539453208242629,0.628856306757346,0.726545284176719
"4","65-74 years",1,0.275802835804652,0.432606338066727,0.539487183543922,0.623196257548736,0.721727579230414,0.833393923635534,0.962348884033869,1,0.144598438234984,0.226807678291279,0.282843372370159,0.326730525784949,0.378388715559657,0.436933360168847,0.509345935804085,0.588469708734003
"5","75+ years",1,0.275802835804652,0.432606338066727,0.539487183543922,0.623196257548736,0.721727579230414,0.833393923635534,0.962348884033869,1,0.144598438234984,0.226807678291279,0.282843372370159,0.326730525784949,0.378388715559657,0.436933360168847,0.509345935804085,0.588469708734003
