"","week","age_group","total_vaccinated","perc_doses"
"97",2021-04-25,"18-49 years",711204,0.0531119174272648
"98",2021-04-25,"50-64 years",527372,0.0844594388994642
"99",2021-04-25,"65-74 years",59722,0.019062648323472
"100",2021-04-25,"75+ years",29791,0.0142606787548868
"101",2021-05-02,"0-17 years",82642,0.0240869113072837
"102",2021-05-02,"18-49 years",903198,0.0674498141130685
"103",2021-05-02,"50-64 years",414389,0.0663650372528501
"104",2021-05-02,"65-74 years",50020,0.0159658696818604
"105",2021-05-02,"75+ years",25072,0.0120017366903603
"106",2021-05-09,"0-17 years",95139,0.0277292981155304
"107",2021-05-09,"18-49 years",836480,0.062467388667047
"108",2021-05-09,"50-64 years",255407,0.0409038248352121
"109",2021-05-09,"65-74 years",40362,0.0128831353878299
"110",2021-05-09,"75+ years",21016,0.0100601666514283
"111",2021-05-16,"0-17 years",73236,0.0213454301263308
"112",2021-05-16,"18-49 years",716701,0.0535224272248724
"113",2021-05-16,"50-64 years",214031,0.034277394641906
"114",2021-05-16,"65-74 years",38075,0.0121531485033354
"115",2021-05-16,"75+ years",19693,0.00942685867275306
"116",2021-05-23,"0-17 years",42877,0.0124969688066891
"117",2021-05-23,"18-49 years",452133,0.0337647855778954
"118",2021-05-23,"50-64 years",144254,0.0231025005100827
"119",2021-05-23,"65-74 years",28706,0.00916266003773461
"120",2021-05-23,"75+ years",14894,0.00712962134118642
"121",2021-05-30,"0-17 years",183415,0.0534583001067913
"122",2021-05-30,"18-49 years",315923,0.0235927754756354
"123",2021-05-30,"50-64 years",102613,0.0164336301582009
"124",2021-05-30,"65-74 years",21712,0.00693024715179035
"125",2021-05-30,"75+ years",11414,0.00546377722494305
"126",2021-06-06,"0-17 years",276889,0.0807023158316895
"127",2021-06-06,"18-49 years",293527,0.0219202673025922
"128",2021-06-06,"50-64 years",89994,0.014412677852291
"129",2021-06-06,"65-74 years",20253,0.00646454935359294
"130",2021-06-06,"75+ years",10501,0.00502673248984816
"131",2021-06-13,"0-17 years",154219,0.044948807808354
"132",2021-06-13,"18-49 years",253600,0.0189385637026147
"133",2021-06-13,"50-64 years",73721,0.0118065318126624
"134",2021-06-13,"65-74 years",16822,0.00536940943199232
"135",2021-06-13,"75+ years",8715,0.00417179065317844
"136",2021-06-20,"0-17 years",90006,0.0262332293400859
"137",2021-06-20,"18-49 years",181125,0.0135262119504577
"138",2021-06-20,"50-64 years",53942,0.00863889446750093
"139",2021-06-20,"65-74 years",12695,0.00405211346683762
"140",2021-06-20,"75+ years",6676,0.00319574003449446
"141",2021-06-27,"0-17 years",72794,0.0212166044106194
"142",2021-06-27,"18-49 years",143754,0.0107353875650854
"143",2021-06-27,"50-64 years",44198,0.00707837784425134
"144",2021-06-27,"65-74 years",10702,0.00341596835936166
"145",2021-06-27,"75+ years",5742,0.00274864279180156
"146",2021-07-04,"0-17 years",57661,0.0168059266824289
"147",2021-07-04,"18-49 years",134937,0.0100769438893522
"148",2021-07-04,"50-64 years",40578,0.00649862926295378
"149",2021-07-04,"65-74 years",10633,0.0033939442688369
"150",2021-07-04,"75+ years",5602,0.00268162607448142
"151",2021-07-11,"0-17 years",52387,0.0152687619207506
