"","age_group","boosted_rate","week","week_num"
"104","65-74 years",0.0252320220346087,2022-05-15,20
"105","75+ years",0.0280853032029998,2022-05-15,20
"106","0-17 years",0.0123144260820532,2022-05-22,21
"107","18-49 years",0.00215989885496495,2022-05-22,21
"108","50-64 years",0.0160943431058701,2022-05-22,21
"109","65-74 years",0.0227891749530576,2022-05-22,21
"110","75+ years",0.0255960197166556,2022-05-22,21
"111","0-17 years",0.0113657563333367,2022-05-29,22
"112","18-49 years",0.00184372869711322,2022-05-29,22
"113","50-64 years",0.0126407125252606,2022-05-29,22
"114","65-74 years",0.0168784968327664,2022-05-29,22
"115","75+ years",0.0179362885777582,2022-05-29,22
"116","0-17 years",0.0110703404074247,2022-06-05,23
"117","18-49 years",0.00194850419877085,2022-06-05,23
"118","50-64 years",0.0120013350136164,2022-06-05,23
"119","65-74 years",0.015683123381066,2022-06-05,23
"120","75+ years",0.0167307376623157,2022-06-05,23
"121","0-17 years",0.00951952958986641,2022-06-12,24
"122","18-49 years",0.00180343512651934,2022-06-12,24
"123","50-64 years",0.010217057843345,2022-06-12,24
"124","65-74 years",0.0128254097781823,2022-06-12,24
"125","75+ years",0.0134781327529576,2022-06-12,24
"126","0-17 years",0.00818797622173187,2022-06-19,25
"127","18-49 years",0.0016672644714092,2022-06-19,25
"128","50-64 years",0.00879010168367092,2022-06-19,25
"129","65-74 years",0.0108104158100724,2022-06-19,25
"130","75+ years",0.0115814086949089,2022-06-19,25
"131","0-17 years",0.00721041642812413,2022-06-26,26
"132","18-49 years",0.00155485610625822,2022-06-26,26
"133","50-64 years",0.00809805347479911,2022-06-26,26
"134","65-74 years",0.00951165779845929,2022-06-26,26
"135","75+ years",0.0100516379551877,2022-06-26,26
"136","0-17 years",0.0054878162351989,2022-07-03,27
"137","18-49 years",0.00147288910114571,2022-07-03,27
"138","50-64 years",0.00737864765206813,2022-07-03,27
"139","65-74 years",0.00944947838215308,2022-07-03,27
"140","75+ years",0.00975406364600398,2022-07-03,27
"141","0-17 years",0.00654876837079778,2022-07-10,28
"142","18-49 years",0.00182653301949544,2022-07-10,28
"143","50-64 years",0.0109929492484884,2022-07-10,28
"144","65-74 years",0.0143488145400152,2022-07-10,28
"145","75+ years",0.0150340707918987,2022-07-10,28
"146","0-17 years",0.006434448755503,2022-07-17,29
"147","18-49 years",0.00178923711535446,2022-07-17,29
"148","50-64 years",0.0108128787395749,2022-07-17,29
"149","65-74 years",0.0142648740685437,2022-07-17,29
"150","75+ years",0.0152038746052507,2022-07-17,29
"151","0-17 years",0.00639626176139865,2022-07-24,30
"152","18-49 years",0.00163449919784638,2022-07-24,30
"153","50-64 years",0.00807409683364174,2022-07-24,30
"154","65-74 years",0.0106519550089714,2022-07-24,30
"155","75+ years",0.0114253690533606,2022-07-24,30
"156","0-17 years",0.00652460580564342,2022-07-31,31
"157","18-49 years",0.0014615481151452,2022-07-31,31
"158","50-64 years",0.0060425423103293,2022-07-31,31
"159","65-74 years",0.00751117855715428,2022-07-31,31
"160","75+ years",0.00787083508461557,2022-07-31,31
"161","0-17 years",0.00559501625685276,2022-08-07,32
"162","18-49 years",0.001224136972373,2022-08-07,32
"163","50-64 years",0.0045795716530172,2022-08-07,32
"164","65-74 years",0.00554965318178867,2022-08-07,32
"165","75+ years",0.00566781412485828,2022-08-07,32
"166","0-17 years",0.00370592943216032,2022-08-14,33
"167","18-49 years",0.0012602890004314,2022-08-14,33
"168","50-64 years",0.0042414604889352,2022-08-14,33
"169","65-74 years",0.0052558412621756,2022-08-14,33
"170","75+ years",0.00528482857591318,2022-08-14,33
"171","0-17 years",0.00271249471263261,2022-08-21,34
"172","18-49 years",0.00111249078664466,2022-08-21,34
"173","50-64 years",0.00358316098573066,2022-08-21,34
"174","65-74 years",0.00437447392951381,2022-08-21,34
"175","75+ years",0.00430277247234299,2022-08-21,34
"176","0-17 years",0.00165898320859136,2022-08-28,35
"177","18-49 years",0.00062676339339466,2022-08-28,35
"178","50-64 years",0.00192755333910361,2022-08-28,35
"179","65-74 years",0.00237397124794686,2022-08-28,35
"180","75+ years",0.0023708376695198,2022-08-28,35
"181","0-17 years",0.0011171932450602,2022-09-04,36
"182","18-49 years",0.000858284573074446,2022-09-04,36
"183","50-64 years",0.00327861835028511,2022-09-04,36
"184","65-74 years",0.00463548894684895,2022-09-04,36
"185","75+ years",0.00420252973155612,2022-09-04,36
"186","0-17 years",0.00188836440341011,2022-09-11,37
"187","18-49 years",0.00149808939004459,2022-09-11,37
"188","50-64 years",0.00724720196790206,2022-09-11,37
"189","65-74 years",0.0103418824443011,2022-09-11,37
"190","75+ years",0.0105843246618029,2022-09-11,37
"191","0-17 years",0.0021165539825124,2022-09-18,38
"192","18-49 years",0.00158816987555148,2022-09-18,38
"193","50-64 years",0.00857400807135587,2022-09-18,38
"194","65-74 years",0.0122367763341865,2022-09-18,38
"195","75+ years",0.0133382454790483,2022-09-18,38
"196","0-17 years",0.00202616429837205,2022-09-25,39
"197","18-49 years",0.00158792536677377,2022-09-25,39
"198","50-64 years",0.00938610603744359,2022-09-25,39
"199","65-74 years",0.0129581196976905,2022-09-25,39
"200","75+ years",0.0144511036724578,2022-09-25,39
"201","0-17 years",0.00188729118490253,2022-10-02,40
"202","18-49 years",0.00157791456410669,2022-10-02,40
"203","50-64 years",0.0102147221450556,2022-10-02,40
"204","65-74 years",0.0142530185473604,2022-10-02,40
"205","75+ years",0.0156095956409468,2022-10-02,40
"206","0-17 years",0.00155012438692153,2022-10-09,41
"207","18-49 years",0.00162592297981158,2022-10-09,41
"208","50-64 years",0.0109622524393407,2022-10-09,41
"209","65-74 years",0.0146754469068688,2022-10-09,41
"210","75+ years",0.0162589780508436,2022-10-09,41
"211","0-17 years",0.00212763971718578,2022-10-16,42
"212","18-49 years",0.00163702409164524,2022-10-16,42
"213","50-64 years",0.0113113457878376,2022-10-16,42
"214","65-74 years",0.0147217246307028,2022-10-16,42
"215","75+ years",0.0164882983130775,2022-10-16,42
"216","0-17 years",0.00380838952119722,2022-10-23,43
"217","18-49 years",0.00166016192795263,2022-10-23,43
"218","50-64 years",0.0114407870304555,2022-10-23,43
"219","65-74 years",0.0144636202570485,2022-10-23,43
"220","75+ years",0.0160906761555295,2022-10-23,43
"221","0-17 years",0.00391133978049367,2022-10-30,44
"222","18-49 years",0.00160615031345507,2022-10-30,44
"223","50-64 years",0.010190008750475,2022-10-30,44
"224","65-74 years",0.0122152308282773,2022-10-30,44
"225","75+ years",0.0134490250647437,2022-10-30,44
"226","0-17 years",0.00453676079039678,2022-11-06,45
"227","18-49 years",0.00160206304772689,2022-11-06,45
"228","50-64 years",0.00955136463701406,2022-11-06,45
"229","65-74 years",0.010685804733176,2022-11-06,45
"230","75+ years",0.0109793496750778,2022-11-06,45
"231","0-17 years",0.00405768272387939,2022-11-13,46
"232","18-49 years",0.00149504979535088,2022-11-13,46
"233","50-64 years",0.00964095666764738,2022-11-13,46
"234","65-74 years",0.0112804839482496,2022-11-13,46
"235","75+ years",0.0119817335916443,2022-11-13,46
"236","0-17 years",0.00366469819216667,2022-11-20,47
"237","18-49 years",0.00102779576855862,2022-11-20,47
"238","50-64 years",0.00605980246177816,2022-11-20,47
"239","65-74 years",0.00607625852469405,2022-11-20,47
"240","75+ years",0.00619657981643249,2022-11-20,47
"241","0-17 years",0.00310470184960065,2022-11-27,48
"242","18-49 years",0.00128615198337752,2022-11-27,48
"243","50-64 years",0.00780235815770822,2022-11-27,48
"244","65-74 years",0.00868050687084815,2022-11-27,48
"245","75+ years",0.00895854752672903,2022-11-27,48
"246","0-17 years",0.00343968200555228,2022-12-04,49
"247","18-49 years",0.00132541912256249,2022-12-04,49
"248","50-64 years",0.00831818305899053,2022-12-04,49
"249","65-74 years",0.0090464866915609,2022-12-04,49
"250","75+ years",0.00922775966636505,2022-12-04,49
"251","0-17 years",0.00325175845940264,2022-12-11,50
"252","18-49 years",0.00126037394222904,2022-12-11,50
"253","50-64 years",0.00754501605987622,2022-12-11,50
"254","65-74 years",0.00811486680281203,2022-12-11,50
"255","75+ years",0.00807024571727204,2022-12-11,50
"256","0-17 years",0.00342625040573328,2022-12-18,51
"257","18-49 years",0.00105955926029556,2022-12-18,51
"258","50-64 years",0.0054417982212011,2022-12-18,51
"259","65-74 years",0.00551679801167648,2022-12-18,51
"260","75+ years",0.00555725840077981,2022-12-18,51
"261","0-17 years",0.00287462878871203,2022-12-25,52
"262","18-49 years",0.000802158339542415,2022-12-25,52
"263","50-64 years",0.00446392898337281,2022-12-25,52
"264","65-74 years",0.00409960064791708,2022-12-25,52
"265","75+ years",0.00373716112855549,2022-12-25,52
"266","0-17 years",0.00275220432632712,2023-01-01,53
"267","18-49 years",0.000821000104278204,2023-01-01,53
"268","50-64 years",0.00389254586575629,2023-01-01,53
"269","65-74 years",0.00383437468495118,2023-01-01,53
"270","75+ years",0.00333592584705518,2023-01-01,53
"271","0-17 years",0.00213388837238454,2023-01-08,54
"272","18-49 years",0.000793879089795723,2023-01-08,54
"273","50-64 years",0.00363518121971428,2023-01-08,54
"274","65-74 years",0.00392026851642463,2023-01-08,54
"275","75+ years",0.00362956212602038,2023-01-08,54
"276","0-17 years",0.00161313757606254,2023-01-15,55
"277","18-49 years",0.000628295337151034,2023-01-15,55
"278","50-64 years",0.0025423347680814,2023-01-15,55
"279","65-74 years",0.00270407005086527,2023-01-15,55
"280","75+ years",0.00257789300456923,2023-01-15,55
"281","0-17 years",0.00159415950819215,2023-01-22,56
"282","18-49 years",0.000560032077336408,2023-01-22,56
"283","50-64 years",0.00212357233751809,2023-01-22,56
"284","65-74 years",0.00222252591590517,2023-01-22,56
"285","75+ years",0.00226944435380353,2023-01-22,56
"286","0-17 years",0.00143844778832796,2023-01-29,57
"287","18-49 years",0.000528101633580354,2023-01-29,57
"288","50-64 years",0.00191795776230795,2023-01-29,57
"289","65-74 years",0.00197307274608064,2023-01-29,57
"290","75+ years",0.00198414704192993,2023-01-29,57
"291","0-17 years",0.00131360182546702,2023-02-05,58
"292","18-49 years",0.000487565696012549,2023-02-05,58
"293","50-64 years",0.00166053123935632,2023-02-05,58
"294","65-74 years",0.00180789191329855,2023-02-05,58
"295","75+ years",0.00169989345802894,2023-02-05,58
"296","0-17 years",0.00113530679398872,2023-02-12,59
"297","18-49 years",0.000411157033038031,2023-02-12,59
"298","50-64 years",0.00137542084845661,2023-02-12,59
"299","65-74 years",0.00145064507049257,2023-02-12,59
"300","75+ years",0.00133863335365324,2023-02-12,59
"301","0-17 years",0.00108332852950356,2023-02-19,60
