"","age_group","beta_0","beta_V_1","beta_1","beta_V_2","beta_2","beta_V_3","beta_3","beta_V_4","beta_4","beta_V_5","beta_5","beta_V_6","beta_6","beta_V_7","beta_7","beta_V_8","beta_8","beta_V_9","beta_9","beta_V_10","beta_10","beta_V_11","beta_11","beta_V_12","beta_12","beta_V_13","beta_13","beta_V_14","beta_14","beta_V_15","beta_15","beta_V_16","beta_16","beta_V_17","beta_17","beta_V_18","beta_18","beta_V_19","beta_19","beta_V_20","beta_20","beta_V_21","beta_21","beta_V_22","beta_22","beta_V_23","beta_23","beta_V_24","beta_24"
"1","0-17 years",1,0.315824258965229,0.165580946511511,0.483246088276039,0.253357183380714,0.603572842611401,0.316442324271366,0.697942193464623,0.365918468020266,0.76868477705874,0.403007525043821,0.838627329527325,0.439677140218805,0.901532924106744,0.472657405653311,0.952640413631825,0.49945213800578,0.995482686688554,0.527358130273659,1,0.55342138712134,1,0.575211618664926,1,0.598411686885603,1,0.620470527430471,1,0.639187320442697,1,0.659360328398779,1,0.67874246006738,1,0.695337184939868,1,0.713362738708893,1,0.7308007931872,1,0.745822211885222,1,0.762226954381547,1,0.778174161336654,1,0.791971722877797,1,0.807099572561329
"2","18-49 years",1,0.315824258965229,0.165580946511511,0.483246088276039,0.253357183380714,0.603572842611401,0.316442324271366,0.697942193464623,0.365918468020266,0.76868477705874,0.403007525043821,0.838627329527325,0.439677140218805,0.901532924106744,0.472657405653311,0.952640413631825,0.49945213800578,0.995482686688554,0.527358130273659,1,0.55342138712134,1,0.575211618664926,1,0.598411686885603,1,0.620470527430471,1,0.639187320442697,1,0.659360328398779,1,0.67874246006738,1,0.695337184939868,1,0.713362738708893,1,0.7308007931872,1,0.745822211885222,1,0.762226954381547,1,0.778174161336654,1,0.791971722877797,1,0.807099572561329
"3","50-64 years",1,0.297796904014912,0.156129530380424,0.455662238985146,0.238895470119734,0.569120701703107,0.298379689945447,0.658103418262193,0.345031718764554,0.724807991385765,0.380003719935824,0.790758199429595,0.414580221140346,0.850073121507923,0.445677961928735,0.898263378337495,0.470943241944328,0.948452233250586,0.497256350785512,0.992631446435713,0.52183190816421,1,0.542378345960689,1,0.564254146482437,1,0.58505386098804,1,0.602702293158484,1,0.621723819033895,1,0.639999612106377,1,0.6556471045004,1,0.67264375359619,1,0.68908643805842,1,0.703250429123703,1,0.718718783399507,1,0.733755718416709,1,0.746765710503352,1,0.761030057437684
"4","65-74 years",1,0.241202387771493,0.126458049165999,0.36906636227158,0.193494818259722,0.460962724360974,0.241674418729873,0.533034809110959,0.279460509162129,0.587062578022479,0.307786291176423,0.64047934441506,0.335791735621529,0.688521821159735,0.360979537211579,0.727553808591117,0.381443302231685,0.768204572522324,0.402755762491067,0.806171016833749,0.422660882526366,0.837912929107703,0.439302593000498,0.871708555773599,0.457021028783814,0.903841751790347,0.473867882246957,0.931106574592044,0.488162335690037,0.960492671181376,0.503568934611484,0.988726695307111,0.51837152277835,1,0.531045303053398,1,0.544811840887564,1,0.558129691745626,1,0.569601901225511,1,0.582130587507731,1,0.594309843174983,1,0.604847364263616,1,0.616400857581296
"5","75+ years",1,0.241202387771493,0.126458049165999,0.36906636227158,0.193494818259722,0.460962724360974,0.241674418729873,0.533034809110959,0.279460509162129,0.587062578022479,0.307786291176423,0.64047934441506,0.335791735621529,0.688521821159735,0.360979537211579,0.727553808591117,0.381443302231685,0.768204572522324,0.402755762491067,0.806171016833749,0.422660882526366,0.837912929107703,0.439302593000498,0.871708555773599,0.457021028783814,0.903841751790347,0.473867882246957,0.931106574592044,0.488162335690037,0.960492671181376,0.503568934611484,0.988726695307111,0.51837152277835,1,0.531045303053398,1,0.544811840887564,1,0.558129691745626,1,0.569601901225511,1,0.582130587507731,1,0.594309843174983,1,0.604847364263616,1,0.616400857581296
