"","age_group","variable","value","immunity_type","waning_group"
"1","0-17 years","beta_0",1,"immune-naive",0
"2","18-49 years","beta_0",1,"immune-naive",0
"3","50-64 years","beta_0",1,"immune-naive",0
"4","65-74 years","beta_0",1,"immune-naive",0
"5","75+ years","beta_0",1,"immune-naive",0
"6","0-17 years","beta_V_1",0.361129203749978,"vaccine-only",1
"7","18-49 years","beta_V_1",0.361129203749978,"vaccine-only",1
"8","50-64 years","beta_V_1",0.340515827310004,"vaccine-only",1
"9","65-74 years","beta_V_1",0.275802835804652,"vaccine-only",1
"10","75+ years","beta_V_1",0.275802835804652,"vaccine-only",1
"11","0-17 years","beta_V_2",0.566443713123692,"vaccine-only",2
"12","18-49 years","beta_V_2",0.566443713123692,"vaccine-only",2
"13","50-64 years","beta_V_2",0.534110915417418,"vaccine-only",2
"14","65-74 years","beta_V_2",0.432606338066727,"vaccine-only",2
"15","75+ years","beta_V_2",0.432606338066727,"vaccine-only",2
"16","0-17 years","beta_V_3",0.70639076809394,"vaccine-only",3
"17","18-49 years","beta_V_3",0.70639076809394,"vaccine-only",3
"18","50-64 years","beta_V_3",0.666069745409426,"vaccine-only",3
"19","65-74 years","beta_V_3",0.539487183543922,"vaccine-only",3
"20","75+ years","beta_V_3",0.539487183543922,"vaccine-only",3
"21","0-17 years","beta_V_4",0.815997296082716,"vaccine-only",4
"22","18-49 years","beta_V_4",0.815997296082716,"vaccine-only",4
"23","50-64 years","beta_V_4",0.769419895907127,"vaccine-only",4
"24","65-74 years","beta_V_4",0.623196257548736,"vaccine-only",4
"25","75+ years","beta_V_4",0.623196257548736,"vaccine-only",4
"26","0-17 years","beta_V_5",0.943210789365639,"vaccine-only",5
"27","18-49 years","beta_V_5",0.943210789365639,"vaccine-only",5
"28","50-64 years","beta_V_5",0.891070111795948,"vaccine-only",5
"29","65-74 years","beta_V_5",0.721727579230414,"vaccine-only",5
"30","75+ years","beta_V_5",0.721727579230414,"vaccine-only",5
"31","0-17 years","beta_V_6",1,"vaccine-only",6
"32","18-49 years","beta_V_6",1,"vaccine-only",6
"33","50-64 years","beta_V_6",0.995410012662494,"vaccine-only",6
"34","65-74 years","beta_V_6",0.833393923635534,"vaccine-only",6
"35","75+ years","beta_V_6",0.833393923635534,"vaccine-only",6
"36","0-17 years","beta_V_7",1,"vaccine-only",7
"37","18-49 years","beta_V_7",1,"vaccine-only",7
"38","50-64 years","beta_V_7",1,"vaccine-only",7
"39","65-74 years","beta_V_7",0.962348884033869,"vaccine-only",7
"40","75+ years","beta_V_7",0.962348884033869,"vaccine-only",7
"41","0-17 years","beta_V_8",1,"vaccine-only",8
"42","18-49 years","beta_V_8",1,"vaccine-only",8
"43","50-64 years","beta_V_8",1,"vaccine-only",8
"44","65-74 years","beta_V_8",1,"vaccine-only",8
"45","75+ years","beta_V_8",1,"vaccine-only",8
"46","0-17 years","beta_1",0.189333509610017,"hybrid/infection-only",1
"47","18-49 years","beta_1",0.189333509610017,"hybrid/infection-only",1
"48","50-64 years","beta_1",0.178526289186506,"hybrid/infection-only",1
"49","65-74 years","beta_1",0.144598438234984,"hybrid/infection-only",1
"50","75+ years","beta_1",0.144598438234984,"hybrid/infection-only",1
"51","0-17 years","beta_2",0.296976193253229,"hybrid/infection-only",2
"52","18-49 years","beta_2",0.296976193253229,"hybrid/infection-only",2
"53","50-64 years","beta_2",0.280024692234558,"hybrid/infection-only",2
"54","65-74 years","beta_2",0.226807678291279,"hybrid/infection-only",2
"55","75+ years","beta_2",0.226807678291279,"hybrid/infection-only",2
"56","0-17 years","beta_3",0.370347902885019,"hybrid/infection-only",3
"57","18-49 years","beta_3",0.370347902885019,"hybrid/infection-only",3
"58","50-64 years","beta_3",0.349208319997091,"hybrid/infection-only",3
