"","age_group","variable","value","immunity_type","waning_group"
"59","65-74 years","beta_3",0.282843372370159,"hybrid/infection-only",3
"60","75+ years","beta_3",0.282843372370159,"hybrid/infection-only",3
"61","0-17 years","beta_4",0.427812623004002,"hybrid/infection-only",4
"62","18-49 years","beta_4",0.427812623004002,"hybrid/infection-only",4
"63","50-64 years","beta_4",0.403392934559586,"hybrid/infection-only",4
"64","65-74 years","beta_4",0.326730525784949,"hybrid/infection-only",4
"65","75+ years","beta_4",0.326730525784949,"hybrid/infection-only",4
"66","0-17 years","beta_5",0.495452540070406,"hybrid/infection-only",5
"67","18-49 years","beta_5",0.495452540070406,"hybrid/infection-only",5
"68","50-64 years","beta_5",0.467171942404636,"hybrid/infection-only",5
"69","65-74 years","beta_5",0.378388715559657,"hybrid/infection-only",5
"70","75+ years","beta_5",0.378388715559657,"hybrid/infection-only",5
"71","0-17 years","beta_6",0.572109405580363,"hybrid/infection-only",6
"72","18-49 years","beta_6",0.572109405580363,"hybrid/infection-only",6
"73","50-64 years","beta_6",0.539453208242629,"hybrid/infection-only",6
"74","65-74 years","beta_6",0.436933360168847,"hybrid/infection-only",6
"75","75+ years","beta_6",0.436933360168847,"hybrid/infection-only",6
"76","0-17 years","beta_7",0.666924586520565,"hybrid/infection-only",7
"77","18-49 years","beta_7",0.666924586520565,"hybrid/infection-only",7
"78","50-64 years","beta_7",0.628856306757346,"hybrid/infection-only",7
"79","65-74 years","beta_7",0.509345935804085,"hybrid/infection-only",7
"80","75+ years","beta_7",0.509345935804085,"hybrid/infection-only",7
"81","0-17 years","beta_8",0.770527238148534,"hybrid/infection-only",8
"82","18-49 years","beta_8",0.770527238148534,"hybrid/infection-only",8
"83","50-64 years","beta_8",0.726545284176719,"hybrid/infection-only",8
"84","65-74 years","beta_8",0.588469708734003,"hybrid/infection-only",8
"85","75+ years","beta_8",0.588469708734003,"hybrid/infection-only",8
